riding,cname,party,votes,percent
Abbotsford-Mission,Dan Cameron,Christian Heritage Party of B.C.,607,0.026
Abbotsford-Mission,Andrew Murray Christie,BC NDP,6754,0.2889
Abbotsford-Mission,Simon John Gibson,BC Liberal Party,12080,0.5167
Abbotsford-Mission,Jennifer Holmes,BC Green Party,3940,0.1685
Abbotsford-Mission,102 of 102 ballot boxes reported,23381,1,
Abbotsford South,Jasleen Arora,BC NDP,5652,0.2793
Abbotsford South,William Aird Flavelle,BC Green Party,3021,0.1493
Abbotsford South,Ron Gray,Christian Heritage Party of B.C.,874,0.0432
Abbotsford South,Darryl Plecas,BC Liberal Party,10687,0.5282
Abbotsford South,101 of 101 ballot boxes reported,20234,1,
Abbotsford West,Michael de Jong,BC Liberal Party,10910,0.5599
Abbotsford West,Kevin Allan Eastwood,BC Green Party,2068,0.1061
Abbotsford West,Preet Rai,BC NDP,5890,0.3023
Abbotsford West,Dave Sharkey,Libertarian,133,0.0068
Abbotsford West,Lynn Simcox,Christian Heritage Party of B.C.,484,0.0248
Abbotsford West,88 of 88 ballot boxes reported,19485,1,
Boundary-Similkameen,Peter Entwistle,Independent,3028,0.1422
Boundary-Similkameen,Linda Margaret Larson,BC Liberal Party,9174,0.4309
Boundary-Similkameen,Vonnie Lavers,BC Green Party,2145,0.1008
Boundary-Similkameen,Colleen Ross,BC NDP,6941,0.3261
Boundary-Similkameen,95 of 95 ballot boxes reported,21288,1,
Burnaby-Deer Lake,Graham Bowers,BC Conservative Party,523,0.0318
Burnaby-Deer Lake,Elias Ishak,Independent,207,0.0126
Burnaby-Deer Lake,Anne Kang,BC NDP,7778,0.4733
Burnaby-Deer Lake,Rick McGowan,BC Green Party,1951,0.1187
Burnaby-Deer Lake,Karen Xiao Bao Wang,BC Liberal Party,5973,0.3635
Burnaby-Deer Lake,71 of 71 ballot boxes reported,16432,1,
Burnaby-Edmonds,Raj Chouhan,BC NDP,9613,0.537
Burnaby-Edmonds,Garrison Duke,BC Liberal Party,5852,0.3269
Burnaby-Edmonds,Valentine Wu,BC Green Party,2436,0.1361
Burnaby-Edmonds,73 of 73 ballot boxes reported,17901,1,
Burnaby-Lougheed,Katrina Chen,BC NDP,9845,0.4774
Burnaby-Lougheed,Steve Darling,BC Liberal Party,7698,0.3733
Burnaby-Lougheed,Sylvia Gung,Independent,134,0.0065
Burnaby-Lougheed,Joe Keithley,BC Green Party,2837,0.1376
Burnaby-Lougheed,Neeraj Murarka,Libertarian,109,0.0053
Burnaby-Lougheed,84 of 84 ballot boxes reported,20623,1,
Burnaby North,Peter Hallschmid,BC Green Party,2415,0.1175
Burnaby North,Richard T. Lee,BC Liberal Party,8349,0.4061
Burnaby North,Janet Routledge,BC NDP,9794,0.4764
Burnaby North,85 of 85 ballot boxes reported,20558,1,
Cariboo-Chilcotin,Donna Barnett,BC Liberal Party,8028,0.5899
Cariboo-Chilcotin,Rita Helen Giesbrecht,BC Green Party,2035,0.1495
Cariboo-Chilcotin,Sally Watson,BC NDP,3547,0.2606
Cariboo-Chilcotin,71 of 71 ballot boxes reported,13610,1,
Cariboo North,Scott Elliott,BC NDP,4117,0.3545
Cariboo North,Tony Goulet,BC Conservative Party,690,0.0594
Cariboo North,Richard Edward Jaques,BC Green Party,836,0.072
Cariboo North,Coralee Ella Oakes,BC Liberal Party,5969,0.514
Cariboo North,57 of 57 ballot boxes reported,11612,1,
Chilliwack,Wayne Froese,BC Green Party,3014,0.1703
Chilliwack,John Martin,BC Liberal Party,8641,0.4882
Chilliwack,Ryan McKinnon,Independent,370,0.0209
Chilliwack,Tracey Lorrean O'Hara,BC NDP,5673,0.3205
Chilliwack,72 of 72 ballot boxes reported,17698,1,
Chilliwack-Kent,Josie Bleuer,BC Green Party,3088,0.1469
Chilliwack-Kent,Patti MacAhonic,BC NDP,6678,0.3177
Chilliwack-Kent,Laurie Throness,BC Liberal Party,11257,0.5355
Chilliwack-Kent,84 of 84 ballot boxes reported,21023,1,
Columbia River-Revelstoke,Samson Boyer,BC Green Party,1582,0.1144
Columbia River-Revelstoke,Doug Clovechok,BC Liberal Party,6325,0.4575
Columbia River-Revelstoke,Justin James Hooles,Independent,353,0.0255
Columbia River-Revelstoke,Rylan Kashuba,Libertarian,148,0.0107
Columbia River-Revelstoke,Duncan Boyd MacLeod,Independent,450,0.0326
Columbia River-Revelstoke,Gerry Taft,BC NDP,4966,0.3592
Columbia River-Revelstoke,61 of 61 ballot boxes reported,13824,1,
Coquitlam-Burke Mountain,Joan Isaacs,BC Liberal Party,9514,0.4444
Coquitlam-Burke Mountain,Ian Donnelly Soutar,BC Green Party,2553,0.1192
Coquitlam-Burke Mountain,Jodie Wickens,BC NDP,9344,0.4364
Coquitlam-Burke Mountain,82 of 82 ballot boxes reported,21411,1,
Coquitlam-Maillardville,Steve Kim,BC Liberal Party,7862,0.3826
Coquitlam-Maillardville,Selina Mae Robinson,BC NDP,10308,0.5017
Coquitlam-Maillardville,Nicola Eyton Spurling,BC Green Party,2223,0.1082
Coquitlam-Maillardville,Jesse Velay-Vitow,Libertarian,155,0.0075
Coquitlam-Maillardville,88 of 88 ballot boxes reported,20548,1,
Courtenay-Comox,Jim Benninger,BC Liberal Party,10049,0.3711
Courtenay-Comox,Ronna-Rae Leonard,BC NDP,10058,0.3715
Courtenay-Comox,Leah Catherine McCulloch,BC Conservative Party,2061,0.0761
Courtenay-Comox,Ernie Sellentin,BC Green Party,4909,0.1813
Courtenay-Comox,91 of 91 ballot boxes reported,27077,1,
Cowichan Valley,James Robert Anderson,Libertarian,367,0.0128
Cowichan Valley,Sonia Furstenau,BC Green Party,10669,0.3721
Cowichan Valley,Eden Haythornthwaite,Independent,117,0.0041
Cowichan Valley,Steve Housser,BC Liberal Party,7943,0.277
Cowichan Valley,Lori Lynn Iannidinardo,BC NDP,8965,0.3126
Cowichan Valley,Samuel Lockhart,Independent,136,0.0047
Cowichan Valley,Ian Morrison,Independent,478,0.0167
Cowichan Valley,97 of 97 ballot boxes reported,28675,1,
Delta North,Scott Hamilton,BC Liberal Party,8817,0.401
Delta North,Ravi Kahlon,BC NDP,10658,0.4847
Delta North,Jacquie Miller,BC Green Party,2512,0.1142
Delta North,76 of 76 ballot boxes reported,21987,1,
Delta South,Larry Colero,BC Green Party,2134,0.0907
Delta South,Ian Paton,BC Liberal Party,10473,0.445
Delta South,Bruce Reid,BC NDP,4800,0.204
Delta South,Errol Edmund Sherley,BC Action Party,77,0.0033
Delta South,Nicholas Wong,Independent,6050,0.2571
Delta South,87 of 87 ballot boxes reported,23534,1,
Esquimalt-Metchosin,Mitzi Jayne Dean,BC NDP,10803,0.4601
Esquimalt-Metchosin,Barb Desjardins,BC Liberal Party,6564,0.2796
Esquimalt-Metchosin,Andy MacKinnon,BC Green Party,5814,0.2476
Esquimalt-Metchosin,Delmar Martay,Independent,90,0.0038
Esquimalt-Metchosin,Josh Steffler,Libertarian,149,0.0063
Esquimalt-Metchosin,Tyson Riel Strandlund,Communist Party of BC,60,0.0026
Esquimalt-Metchosin,80 of 80 ballot boxes reported,23480,1,
Fraser-Nicola,Arthur Alexander Green,BC Green Party,2336,0.1604
Fraser-Nicola,Michael Henshall,BC Social Credit Party,573,0.0393
Fraser-Nicola,Harry Lali,BC NDP,5475,0.3759
Fraser-Nicola,Jackie L. Tegart,BC Liberal Party,6181,0.4244
Fraser-Nicola,88 of 88 ballot boxes reported,14565,1,
Kamloops-North Thompson,Dan Hines,BC Green Party,4573,0.2029
Kamloops-North Thompson,Peter Paul Kerek,Communist Party of BC,166,0.0074
Kamloops-North Thompson,Peter Gordon Milobar,BC Liberal Party,11025,0.4893
Kamloops-North Thompson,Barb Nederpel,BC NDP,6770,0.3004
Kamloops-North Thompson,109 of 109 ballot boxes reported,22534,1,
Kamloops-South Thompson,Nancy Bepple,BC NDP,5479,0.2151
Kamloops-South Thompson,Jessica Lea Bradshaw,Libertarian,274,0.0108
Kamloops-South Thompson,Donovan Cavers,BC Green Party,5214,0.2047
Kamloops-South Thompson,Beat Klossner,Communist Party of BC,99,0.0039
Kamloops-South Thompson,Todd Graham Stone,BC Liberal Party,14409,0.5656
Kamloops-South Thompson,89 of 89 ballot boxes reported,25475,1,
Kelowna-Lake Country,Norm Letnick,BC Liberal Party,13834,0.6014
Kelowna-Lake Country,Erik Olesen,BC NDP,4753,0.2066
Kelowna-Lake Country,Alison Shaw,BC Green Party,4416,0.192
Kelowna-Lake Country,95 of 95 ballot boxes reported,23003,1,
Kelowna-Mission,Charles Hardy,BC Conservative Party,1755,0.0723
Kelowna-Mission,Harwinder Kaur Sandhu,BC NDP,5102,0.2103
Kelowna-Mission,Steve Thomson,BC Liberal Party,13985,0.5764
Kelowna-Mission,Rainer Wilkins,BC Green Party,3422,0.141
Kelowna-Mission,112 of 112 ballot boxes reported,24264,1,
Kelowna West,Christy Clark,BC Liberal Party,14559,0.596
Kelowna West,Shelley Cook,BC NDP,6055,0.2479
Kelowna West,Robert Mellalieu,BC Green Party,3290,0.1347
Kelowna West,Brian Thiesen,Independent,525,0.0215
Kelowna West,113 of 113 ballot boxes reported,24429,1,
Kootenay East,Keith D. Komar,Libertarian,385,0.0239
Kootenay East,Randal Macnair,BC NDP,4779,0.297
Kootenay East,Yvonne Marie Prest,BC Green Party,1814,0.1127
Kootenay East,Tom Glenn Shypitka,BC Liberal Party,9114,0.5664
Kootenay East,75 of 75 ballot boxes reported,16092,1,
Kootenay West,Katrine Conroy,BC NDP,10499,0.5962
Kootenay West,Jim Postnikoff,BC Liberal Party,4321,0.2454
Kootenay West,Sam Troy,BC Green Party,2791,0.1585
Kootenay West,79 of 79 ballot boxes reported,17611,1,
Langford-Juan de Fuca,Scott Burton,Libertarian,238,0.0103
Langford-Juan de Fuca,John Horgan,BC NDP,12144,0.5278
